To Date,PM2.5,PM10,NO2
01-03-2021 00:15,112.6,361.28,28.47
01-03-2021 00:30,115.32,364.39,28.48
01-03-2021 00:45,115.32,364.39,28.5
01-03-2021 01:00,115.32,364.39,28.5
01-03-2021 01:15,121.87,384.63,28.51
01-03-2021 01:30,127.86,403.14,28.52
01-03-2021 01:45,127.86,403.14,28.51
01-03-2021 02:00,127.86,403.14,28.49
01-03-2021 02:15,128.54,395.2,28.46
01-03-2021 02:30,129.19,386.12,28.43
01-03-2021 02:45,129.19,386.12,28.45
01-03-2021 03:00,129.19,386.12,28.46
01-03-2021 03:15,126.76,378.13,28.47
01-03-2021 03:30,124.53,368.99,28.51
01-03-2021 03:45,124.53,368.99,28.49
01-03-2021 04:00,124.53,368.99,28.48
01-03-2021 04:15,121.95,366.32,28.45
01-03-2021 04:30,119.59,363.26,28.48
01-03-2021 04:45,119.59,363.26,28.46
01-03-2021 05:00,119.59,363.26,28.47
01-03-2021 05:15,120.57,369.17,28.47
01-03-2021 05:30,121.48,375.92,28.48
01-03-2021 05:45,121.48,375.92,28.47
01-03-2021 06:00,121.48,375.92,28.48
01-03-2021 06:15,125.83,385.88,28.47
01-03-2021 06:30,129.99,397.27,28.47
01-03-2021 06:45,129.99,397.27,28.46
01-03-2021 07:00,129.99,397.27,28.51
01-03-2021 07:15,134.93,441.17,28.49
01-03-2021 07:30,139.33,491.34,28.48
01-03-2021 07:45,139.33,491.34,28.5
01-03-2021 08:00,139.33,491.34,28.5
01-03-2021 08:15,148.38,521.11,28.48
01-03-2021 08:30,156.66,555.13,28.49
01-03-2021 08:45,156.66,555.13,28.46
01-03-2021 09:00,156.66,555.13,28.47
01-03-2021 09:15,169.78,584.66,28.49
01-03-2021 09:30,181.79,614.2,28.55
01-03-2021 09:45,181.79,614.2,28.52
01-03-2021 10:00,181.79,575,28.48
01-03-2021 10:15,178.78,471.99,28.49
01-03-2021 10:30,175.82,440.48,28.48
01-03-2021 10:45,None,None,28.46
01-03-2021 11:00,None,None,28.45
01-03-2021 11:15,None,None,28.43
01-03-2021 11:30,None,None,28.47
01-03-2021 11:45,None,None,28.49
01-03-2021 12:00,82.68,121.85,28.48
01-03-2021 12:15,206.7,274.16,28.48
01-03-2021 12:30,206.7,274.16,28.45
01-03-2021 12:45,206.7,274.16,28.4
01-03-2021 13:00,195.32,288.64,28.47
01-03-2021 13:15,178.24,306.74,28.47
01-03-2021 13:30,178.24,306.74,28.44
01-03-2021 13:45,178.24,306.74,28.46
01-03-2021 14:00,177.74,336.38,28.46
01-03-2021 14:15,176.99,373.42,28.46
01-03-2021 14:30,176.99,373.42,28.48
01-03-2021 14:45,176.99,373.42,28.46
01-03-2021 15:00,172.22,348.73,28.45
01-03-2021 15:15,163.73,316.77,28.44
01-03-2021 15:30,163.73,316.77,28.44
01-03-2021 15:45,163.73,316.77,28.44
01-03-2021 16:00,148.96,279.59,28.49
01-03-2021 16:15,126.79,235.15,28.44
01-03-2021 16:30,126.79,235.15,28.46
01-03-2021 16:45,126.79,235.15,28.43
01-03-2021 17:00,122.13,222.16,28.41
01-03-2021 17:15,114.94,206.64,28.48
01-03-2021 17:30,114.94,206.64,28.47
01-03-2021 17:45,114.94,206.64,28.45
01-03-2021 18:00,112.63,202.04,28.42
01-03-2021 18:15,109.15,196.54,28.43
01-03-2021 18:30,109.15,196.54,28.48
01-03-2021 18:45,109.15,196.54,28.49
01-03-2021 19:00,106.81,198.83,28.48
01-03-2021 19:15,103.29,201.56,28.45
01-03-2021 19:30,103.29,201.56,28.47
01-03-2021 19:45,103.29,201.56,28.48
01-03-2021 20:00,103.07,218.18,28.46
01-03-2021 20:15,102.75,238.05,28.45
01-03-2021 20:30,102.75,238.05,28.46
01-03-2021 20:45,102.75,238.05,28.49
01-03-2021 21:00,104.34,234.88,28.48
01-03-2021 21:15,106.72,231.1,28.45
01-03-2021 21:30,106.72,231.1,28.44
01-03-2021 21:45,106.72,231.1,28.44
01-03-2021 22:00,106.31,226.92,28.52
01-03-2021 22:15,105.71,221.92,28.51
01-03-2021 22:30,105.71,221.92,28.47
01-03-2021 22:45,105.71,221.92,28.5
01-03-2021 23:00,107.08,220.57,28.5
01-03-2021 23:15,109.15,218.96,28.5
01-03-2021 23:30,109.15,218.96,28.43
01-03-2021 23:45,109.15,218.96,28.44
02-03-2021 00:00,None,None,None
02-03-2021 00:15,119.52,259.49,28.48
02-03-2021 00:30,119.52,259.49,28.48
02-03-2021 00:45,119.52,259.49,28.49
02-03-2021 01:00,120.01,267.31,28.49
02-03-2021 01:15,120.75,276.65,28.51
02-03-2021 01:30,120.75,276.65,28.47
02-03-2021 01:45,120.75,276.65,28.48
02-03-2021 02:00,124.84,288.3,28.5
02-03-2021 02:15,130.98,302.23,28.51
02-03-2021 02:30,130.98,302.23,28.53
02-03-2021 02:45,130.98,302.23,28.48
02-03-2021 03:00,135.22,328.14,28.46
02-03-2021 03:15,141.57,359.11,28.48
02-03-2021 03:30,141.57,359.11,28.47
02-03-2021 03:45,141.57,359.11,28.46
02-03-2021 04:00,146.94,364.23,28.48
02-03-2021 04:15,154.98,370.35,28.5
02-03-2021 04:30,154.98,370.35,28.47
02-03-2021 04:45,154.98,370.35,28.53
02-03-2021 05:00,155.79,351.3,28.47
02-03-2021 05:15,156.99,328.54,28.48
02-03-2021 05:30,156.99,328.54,28.48
02-03-2021 05:45,156.99,328.54,28.43
02-03-2021 06:00,156.16,345.65,28.46
02-03-2021 06:15,154.91,366.1,28.48
02-03-2021 06:30,154.91,366.1,28.49
02-03-2021 06:45,154.91,366.1,28.48
02-03-2021 07:00,155.95,370.87,28.51
02-03-2021 07:15,157.51,376.57,28.48
02-03-2021 07:30,157.51,376.57,28.47
02-03-2021 07:45,157.51,376.57,28.46
02-03-2021 08:00,165.54,422.13,28.49
02-03-2021 08:15,177.58,476.57,28.47
02-03-2021 08:30,177.58,476.57,28.51
02-03-2021 08:45,177.58,476.57,28.5
02-03-2021 09:00,191.42,509.67,28.45
02-03-2021 09:15,212.18,549.22,28.48
02-03-2021 09:30,212.18,549.22,28.48
02-03-2021 09:45,212.18,549.22,28.46
02-03-2021 10:00,207.88,500.97,28.48
02-03-2021 10:15,201.42,443.3,28.48
02-03-2021 10:30,201.42,443.3,28.52
02-03-2021 10:45,201.42,443.3,28.5
02-03-2021 11:00,189.53,399.95,28.48
02-03-2021 11:15,171.69,348.15,28.47
02-03-2021 11:30,171.69,348.15,28.42
02-03-2021 11:45,171.69,348.15,28.47
02-03-2021 12:00,175.58,348.86,28.45
02-03-2021 12:15,181.41,349.7,28.5
02-03-2021 12:30,181.41,349.7,28.44
02-03-2021 12:45,181.41,349.7,28.46
02-03-2021 13:00,172.56,323.69,28.49
02-03-2021 13:15,159.27,292.61,28.48
02-03-2021 13:30,159.27,292.61,28.51
02-03-2021 13:45,159.27,292.61,28.47
02-03-2021 14:00,153.55,285.06,28.47
02-03-2021 14:15,144.97,276.04,28.48
02-03-2021 14:30,144.97,276.04,28.48
02-03-2021 14:45,144.97,276.04,28.46
02-03-2021 15:00,134.92,270.52,28.45
02-03-2021 15:15,119.84,263.92,28.44
02-03-2021 15:30,119.84,263.92,28.45
02-03-2021 15:45,119.84,263.92,28.48
02-03-2021 16:00,117.61,257.67,28.47
02-03-2021 16:15,114.27,250.21,28.47
02-03-2021 16:30,114.27,250.21,28.45
02-03-2021 16:45,114.27,250.21,28.49
02-03-2021 17:00,109.06,224.22,28.47
02-03-2021 17:15,100.6,177.45,28.44
02-03-2021 17:30,100.6,177.45,28.48
02-03-2021 17:45,100.6,177.45,28.48
02-03-2021 18:00,101.6,182.76,28.48
02-03-2021 18:15,102.92,188.91,28.48
02-03-2021 18:30,102.92,188.91,28.44
02-03-2021 18:45,102.92,188.91,28.5
02-03-2021 19:00,102.96,208.6,28.47
02-03-2021 19:15,103.03,235.54,28.47
02-03-2021 19:30,103.03,235.54,28.5
02-03-2021 19:45,103.03,235.54,28.45
02-03-2021 20:00,103.05,248.32,28.46
02-03-2021 20:15,103.08,265.81,28.43
02-03-2021 20:30,103.08,265.81,28.45
02-03-2021 20:45,103.08,265.81,28.48
02-03-2021 21:00,101.17,262.39,28.52
02-03-2021 21:15,98.29,257.71,28.52
02-03-2021 21:30,98.29,257.71,28.5
02-03-2021 21:45,98.29,257.71,28.47
02-03-2021 22:00,95.98,233.88,28.47
02-03-2021 22:15,92.5,201.27,28.47
02-03-2021 22:30,92.5,201.27,28.45
02-03-2021 22:45,92.5,201.27,28.48
02-03-2021 23:00,91.85,190.25,28.48
02-03-2021 23:15,90.88,175.18,28.46
02-03-2021 23:30,90.88,175.18,28.49
02-03-2021 23:45,90.88,175.18,28.46
03-03-2021 00:00,None,None,None
03-03-2021 00:15,92.75,181.25,28.48
03-03-2021 00:30,92.75,181.25,28.49
03-03-2021 00:45,92.75,181.25,28.49
03-03-2021 01:00,89.01,174.35,28.47
03-03-2021 01:15,83.4,164.91,28.49
03-03-2021 01:30,83.4,164.91,28.48
03-03-2021 01:45,83.4,164.91,28.52
03-03-2021 02:00,81.32,172.68,28.49
03-03-2021 02:15,78.22,181.96,28.47
03-03-2021 02:30,78.22,181.96,28.48
03-03-2021 02:45,78.22,181.96,28.48
03-03-2021 03:00,75.89,187.01,28.47
03-03-2021 03:15,72.85,193.04,28.46
03-03-2021 03:30,72.85,193.04,28.47
03-03-2021 03:45,72.85,193.04,28.44
03-03-2021 04:00,71.17,183.28,28.5
03-03-2021 04:15,68.66,171.61,28.5
03-03-2021 04:30,68.66,171.61,28.49
03-03-2021 04:45,68.66,171.61,28.53
03-03-2021 05:00,69.88,156.96,28.52
03-03-2021 05:15,71.7,139.46,28.47
03-03-2021 05:30,71.7,139.46,28.48
03-03-2021 05:45,71.7,139.46,28.48
03-03-2021 06:00,69.49,146.72,28.5
03-03-2021 06:15,66.16,155.4,28.46
03-03-2021 06:30,66.16,155.4,28.5
03-03-2021 06:45,66.16,155.4,28.49
03-03-2021 07:00,66.68,164.88,28.4
03-03-2021 07:15,67.47,176.21,28.46
03-03-2021 07:30,67.47,176.21,28.48
03-03-2021 07:45,67.47,176.21,28.5
03-03-2021 08:00,69.93,208.44,28.48
03-03-2021 08:15,73.63,246.95,28.49
03-03-2021 08:30,73.63,246.95,28.52
03-03-2021 08:45,73.63,246.95,28.53
03-03-2021 09:00,75.6,235.04,28.48
03-03-2021 09:15,78.56,220.8,28.48
03-03-2021 09:30,78.56,220.8,28.47
03-03-2021 09:45,78.56,220.8,28.51
03-03-2021 10:00,78.97,202.73,28.51
03-03-2021 10:15,79.59,181.14,28.5
03-03-2021 10:30,79.59,181.14,28.5
03-03-2021 10:45,None,None,28.53
03-03-2021 11:00,None,None,28.54
03-03-2021 11:15,None,None,28.49
03-03-2021 11:30,None,None,28.48
03-03-2021 11:45,None,None,28.47
03-03-2021 12:00,None,None,28.5
03-03-2021 12:15,None,None,28.46
03-03-2021 12:30,None,None,28.5
03-03-2021 12:45,None,None,28.46
03-03-2021 13:00,None,None,28.47
03-03-2021 13:15,117.81,155.39,28.45
03-03-2021 13:30,105.31,158.92,28.49
03-03-2021 13:45,105.31,158.92,28.53
03-03-2021 14:00,105.31,158.92,28.54
03-03-2021 14:15,103.03,161.81,28.54
03-03-2021 14:30,96.37,170.24,28.51
03-03-2021 14:45,96.37,170.24,28.49
03-03-2021 15:00,96.37,170.24,28.58
03-03-2021 15:15,94.07,167.32,28.53
03-03-2021 15:30,87.37,158.83,28.51
03-03-2021 15:45,87.37,158.83,28.5
03-03-2021 16:00,87.37,158.83,28.49
03-03-2021 16:15,86.37,154.88,28.47
03-03-2021 16:30,83.47,143.39,28.5
03-03-2021 16:45,83.47,143.39,28.49
03-03-2021 17:00,83.47,143.39,28.51
03-03-2021 17:15,80.26,148.66,28.49
03-03-2021 17:30,70.93,164.02,28.46
03-03-2021 17:45,70.93,164.02,28.47
03-03-2021 18:00,70.93,164.02,28.47
03-03-2021 18:15,73.02,180.74,28.51
03-03-2021 18:30,79.09,229.46,28.5
03-03-2021 18:45,79.09,229.46,28.54
03-03-2021 19:00,79.09,229.46,28.55
03-03-2021 19:15,80.36,238.7,28.51
03-03-2021 19:30,84.06,265.61,28.48
03-03-2021 19:45,84.06,265.61,28.48
03-03-2021 20:00,84.06,265.61,28.46
03-03-2021 20:15,86.49,265.51,28.48
03-03-2021 20:30,93.58,265.23,28.51
03-03-2021 20:45,93.58,265.23,28.51
03-03-2021 21:00,93.58,265.23,28.52
03-03-2021 21:15,95.61,276.76,28.53
03-03-2021 21:30,101.5,310.36,28.51
03-03-2021 21:45,101.5,310.36,28.5
03-03-2021 22:00,101.5,310.36,28.49
03-03-2021 22:15,105.39,308.19,28.51
03-03-2021 22:30,116.74,301.87,28.46
03-03-2021 22:45,116.74,301.87,28.49
03-03-2021 23:00,116.74,301.87,28.55
03-03-2021 23:15,111.15,281.24,28.53
03-03-2021 23:30,94.87,221.16,28.51
03-03-2021 23:45,94.87,221.16,28.47
04-03-2021 00:00,None,None,None
04-03-2021 00:15,93.25,226.09,28.46
04-03-2021 00:30,88.52,240.44,28.49
04-03-2021 00:45,88.52,240.44,28.5
04-03-2021 01:00,88.52,240.44,28.52
04-03-2021 01:15,87.86,236.56,28.51
04-03-2021 01:30,85.91,225.24,28.49
04-03-2021 01:45,85.91,225.24,28.46
04-03-2021 02:00,85.91,225.24,28.43
04-03-2021 02:15,86.2,227.52,28.47
04-03-2021 02:30,87.05,234.17,28.49
04-03-2021 02:45,87.05,234.17,28.47
04-03-2021 03:00,87.05,234.17,28.52
04-03-2021 03:15,83.55,231.29,28.53
04-03-2021 03:30,73.37,222.88,28.5
04-03-2021 03:45,73.37,222.88,28.51
04-03-2021 04:00,73.37,222.88,28.45
04-03-2021 04:15,75.47,220.61,28.44
04-03-2021 04:30,81.6,214.01,28.48
04-03-2021 04:45,81.6,214.01,28.46
04-03-2021 05:00,81.6,214.01,28.42
04-03-2021 05:15,81.31,217.32,28.5
04-03-2021 05:30,80.46,226.96,28.52
04-03-2021 05:45,80.46,226.96,28.5
04-03-2021 06:00,80.46,226.96,28.47
04-03-2021 06:15,86.43,247,28.49
04-03-2021 06:30,103.81,305.37,28.5
04-03-2021 06:45,103.81,305.37,28.48
04-03-2021 07:00,103.81,305.37,28.51
04-03-2021 07:15,111.18,323.16,28.5
04-03-2021 07:30,132.65,374.99,28.48
04-03-2021 07:45,132.65,374.99,28.46
04-03-2021 08:00,132.65,374.99,28.45
04-03-2021 08:15,134.5,383.08,28.47
04-03-2021 08:30,139.88,406.63,28.49
04-03-2021 08:45,139.88,406.63,28.48
04-03-2021 09:00,139.88,406.63,28.49
04-03-2021 09:15,143.29,410.23,28.5
04-03-2021 09:30,153.23,420.72,28.46
04-03-2021 09:45,153.23,420.72,28.46
04-03-2021 10:00,153.23,420.72,28.46
04-03-2021 10:15,144.79,386.87,28.46
04-03-2021 10:30,120.19,288.26,28.44
04-03-2021 10:45,120.19,288.26,28.44
04-03-2021 11:00,120.19,288.26,28.45
04-03-2021 11:15,116.85,268.66,28.48
04-03-2021 11:30,107.14,211.55,28.49
04-03-2021 11:45,107.14,211.55,28.5
04-03-2021 12:00,107.14,211.55,28.49
04-03-2021 12:15,104.5,196.47,28.5
04-03-2021 12:30,96.8,152.53,28.49
04-03-2021 12:45,96.8,152.53,28.5
04-03-2021 13:00,96.8,152.53,28.48
04-03-2021 13:15,94.93,151.43,28.46
04-03-2021 13:30,89.5,148.22,28.48
04-03-2021 13:45,89.5,148.22,28.52
04-03-2021 14:00,89.5,148.22,28.49
04-03-2021 14:15,86.85,144.21,28.49
04-03-2021 14:30,79.14,132.54,28.48
04-03-2021 14:45,79.14,132.54,28.52
04-03-2021 15:00,79.14,132.54,28.51
04-03-2021 15:15,79.74,133.11,28.47
04-03-2021 15:30,81.5,134.76,28.47
04-03-2021 15:45,81.5,134.76,28.5
04-03-2021 16:00,81.5,134.76,28.44
04-03-2021 16:15,80.11,133.04,28.48
04-03-2021 16:30,76.07,128.04,28.46
04-03-2021 16:45,76.07,128.04,28.47
04-03-2021 17:00,76.07,128.04,28.46
04-03-2021 17:15,77.79,132.22,28.45
04-03-2021 17:30,82.79,144.38,28.4
04-03-2021 17:45,82.79,144.38,28.47
04-03-2021 18:00,82.79,144.38,28.49
04-03-2021 18:15,88.42,172.73,28.49
04-03-2021 18:30,104.83,255.3,28.48
04-03-2021 18:45,104.83,255.3,28.47
04-03-2021 19:00,104.83,255.3,28.47
04-03-2021 19:15,106.78,261.9,28.47
04-03-2021 19:30,112.8,281.12,28.48
04-03-2021 19:45,112.8,281.12,28.5
04-03-2021 20:00,112.8,281.12,28.5
04-03-2021 20:15,116.76,304.13,28.5
04-03-2021 20:30,128.31,371.16,28.51
04-03-2021 20:45,128.31,371.16,28.51
04-03-2021 21:00,128.31,371.16,28.48
04-03-2021 21:15,127.6,366.52,28.48
04-03-2021 21:30,125.52,352.99,28.55
04-03-2021 21:45,125.52,352.99,28.5
04-03-2021 22:00,125.52,352.99,28.5
04-03-2021 22:15,121.73,334.76,28.53
04-03-2021 22:30,110.71,281.67,28.49
04-03-2021 22:45,110.71,281.67,28.52
04-03-2021 23:00,110.71,281.67,28.48
04-03-2021 23:15,110.54,274.95,28.48
04-03-2021 23:30,110.06,255.38,28.47
04-03-2021 23:45,110.06,255.38,28.5
05-03-2021 00:00,None,None,None
05-03-2021 00:15,110.99,264.49,28.49
05-03-2021 00:30,113.7,291.03,28.52
05-03-2021 00:45,113.7,291.03,28.51
05-03-2021 01:00,113.7,291.03,28.49
05-03-2021 01:15,113.91,284.64,28.44
05-03-2021 01:30,114.55,266.01,28.45
05-03-2021 01:45,114.55,266.01,28.44
05-03-2021 02:00,114.55,266.01,28.47
05-03-2021 02:15,114.63,268.8,28.51
05-03-2021 02:30,114.89,276.93,28.5
05-03-2021 02:45,114.89,276.93,28.49
05-03-2021 03:00,114.89,276.93,28.51
05-03-2021 03:15,114.28,273.83,28.53
05-03-2021 03:30,112.53,264.81,28.53
05-03-2021 03:45,112.53,264.81,28.5
05-03-2021 04:00,112.53,264.81,28.48
05-03-2021 04:15,112.69,270.9,28.48
05-03-2021 04:30,113.2,288.65,28.5
05-03-2021 04:45,113.2,288.65,28.53
05-03-2021 05:00,113.2,288.65,28.49
05-03-2021 05:15,116.82,292.29,28.49
05-03-2021 05:30,127.36,302.91,28.5
05-03-2021 05:45,127.36,302.91,28.46
05-03-2021 06:00,127.36,302.91,28.46
05-03-2021 06:15,132.96,334.08,28.48
05-03-2021 06:30,149.28,424.88,28.52
05-03-2021 06:45,149.28,424.88,28.51
05-03-2021 07:00,149.28,424.88,28.53
05-03-2021 07:15,148.3,426.3,28.54
05-03-2021 07:30,145.26,430.45,28.49
05-03-2021 07:45,145.26,430.45,28.46
05-03-2021 08:00,145.26,430.45,28.49
05-03-2021 08:15,153.63,435.86,28.44
05-03-2021 08:30,178.01,451.62,28.47
05-03-2021 08:45,178.01,451.62,28.47
05-03-2021 09:00,178.01,451.62,28.51
05-03-2021 09:15,178.19,447.12,28.5
05-03-2021 09:30,178.71,434.01,28.51
05-03-2021 09:45,178.71,434.01,28.51
05-03-2021 10:00,178.71,434.01,28.48
05-03-2021 10:15,174.43,401.26,28.48
05-03-2021 10:30,161.99,305.86,28.5
05-03-2021 10:45,161.99,305.86,28.5
05-03-2021 11:00,None,None,28.48
05-03-2021 11:15,None,None,28.47
05-03-2021 11:30,None,None,28.47
05-03-2021 11:45,None,None,28.47
05-03-2021 12:00,None,None,28.52
05-03-2021 12:15,None,None,28.46
05-03-2021 12:30,None,None,28.46
05-03-2021 12:45,None,None,28.48
05-03-2021 13:00,150.45,168.18,28.5
05-03-2021 13:15,150.45,168.18,28.48
05-03-2021 13:30,150.45,168.18,28.48
05-03-2021 13:45,150.45,153.2,28.5
